Name,Console,Year_of_Release,ESRB_rating,Publisher,Global_players,Genre,Critic_Score,User_Score,NA_Sales,EU_Sales,JP_Sales,Other_Country_Sales,Sequel,Lifecycle,MaxPlayers,Online,Licensed,Handheld,Accessory,LtdEdition,Multiplatform,RealTime,TurnBased,VisualNovel,FirstPerson,SideScrolling,TopDown,ThirdPerson
2010 FIFA World Cup South Africa,PS3,2010,E,Electronic Arts,1.23,Sports,82.0,7.8,0.3,0.64,0.07,0.22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010 FIFA World Cup South Africa,PSP,2010,E,Electronic Arts,0.46,Sports,69.0,7.4,0.09,0.22,0.03,0.12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010 FIFA World Cup South Africa,Wii,2010,E,Electronic Arts,0.42,Sports,70.0,6.7,0.23,0.15,0.01,0.04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010 FIFA World Cup South Africa,X360,2010,E,Electronic Arts,0.85,Sports,83.0,8.1,0.32,0.42,0.02,0.09,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014 FIFA World Cup Brazil,PS3,2014,E,Electronic Arts,0.61,Sports,73.0,4.3,0.15,0.36,0.01,0.09,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014 FIFA World Cup Brazil,X360,2014,E,Electronic Arts,0.42,Sports,74.0,4.4,0.15,0.25,0.0,0.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24: The Game,PS2,2006,M,Sony Computer Entertainment,0.3,Adventure,62.0,8.2,0.15,0.12,0.0,0.04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25 to Life,PS2,2006,M,Eidos Interactive,0.42,Shooter,39.0,4.9,0.35,0.01,0.0,0.06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25 to Life,XB,2006,M,Eidos Interactive,0.17,Shooter,41.0,7.2,0.12,0.04,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300: March to Glory,PSP,2007,M,Warner Bros. Interactive Entertainment,0.41,Action,55.0,7.1,0.27,0.08,0.0,0.07,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3D Dot Game Heroes,PS3,2009,E10+,SouthPeak Games,0.57,Role-Playing,77.0,8.0,0.36,0.11,0.03,0.07,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4 Elements,PC,2009,E,Mastertronic,0.05,Puzzle,70.0,7.4,0.0,0.04,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4x4 EVO 2,GC,2002,E,Vivendi Games,0.14,Racing,56.0,7.6,0.11,0.03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4x4 EVO 2,XB,2001,E,Gathering of Developers,0.24,Racing,59.0,6.2,0.18,0.05,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
